Element Length (m),Normalised error (-)
0.16666666666666666,0.028120285540603626
0.2,0.02256353274483974
0.25,0.016856036548834965
0.3333333333333333,0.010950686426657611
0.5,0.0049398748144920505
1.0,7.955698322348325e-13
0.3333333333333333,0.019602299656675683
0.4,0.012317214442816677
0.5,0.003566384216614438
0.6666666666666666,0.006657693946220363
1.0,1.5813270692888181e-12
0.5,0.0025381916648557308
0.6,0.004415353878802175
0.75,0.014179791727118377
1.0,4.715673185273772e-12
1.5,0.05663584154884753
0.6666666666666666,0.011645027690961825
0.8,0.007162627604301974
1.0,1.2153350326116197e-11
1.3333333333333333,0.0012736189915244153
2.0,0.03094674979979672
0.8333333333333334,0.0005852995875862916
1.0,4.051497626278433e-11
1.25,0.0029232278526983915
1.6666666666666667,0.009206671452864919
1.0,1.228505652761669e-10
1.2,0.0011013536555518045
1.5,0.005121049618034931
2.0,0.006135158646274306
