pressure,diameter,alpha,beta,gamma,error,converged
0.4,0.18,-0.4,0.75,0.75,126.89241321017406,True
0.4,0.18,-0.4,0.75,0.85,102.01238364764674,True
0.4,0.18,-0.4,0.75,0.95,76.10661679985652,True
0.4,0.18,-0.4,0.75,1.0499999999999998,75.46061242761844,True
0.4,0.18,-0.4,0.95,0.75,115.30866269402102,True
0.4,0.18,-0.4,0.95,0.85,88.23661833442826,True
0.4,0.18,-0.4,0.95,0.95,60.30070568945785,True
0.4,0.18,-0.4,0.95,1.0499999999999998,58.625814803956345,True
0.4,0.18,-0.4,1.15,0.75,101.54930983164087,True
0.4,0.18,-0.4,1.15,0.85,72.16013012797075,True
0.4,0.18,-0.4,1.15,0.95,42.29704144803313,True
0.4,0.18,-0.4,1.15,1.0499999999999998,42.44703582680209,True
0.4,0.18,-0.4,1.3499999999999999,0.75,86.0680727449012,True
0.4,0.18,-0.4,1.3499999999999999,0.85,54.425784789228395,True
0.4,0.18,-0.4,1.3499999999999999,0.95,23.872488283751682,True
0.4,0.18,-0.4,1.3499999999999999,1.0499999999999998,31.943396056468163,True
0.4,0.18,-0.2,0.75,0.75,110.83006813310232,True
0.4,0.18,-0.2,0.75,0.85,82.66647344241008,True
0.4,0.18,-0.2,0.75,0.95,54.016461619039156,True
0.4,0.18,-0.2,0.75,1.0499999999999998,53.1190322342416,True
0.4,0.18,-0.2,0.95,0.75,94.19390293136149,True
0.4,0.18,-0.2,0.95,0.85,63.350853331101376,True
0.4,0.18,-0.2,0.95,0.95,33.18064806239529,True
0.4,0.18,-0.2,0.95,1.0499999999999998,36.19766967938466,True
0.4,0.18,-0.2,1.15,0.75,74.42002633978262,True
0.4,0.18,-0.2,1.15,0.85,41.225495794121414,True
0.4,0.18,-0.2,1.15,0.95,14.259646360539719,True
0.4,0.18,-0.2,1.15,1.0499999999999998,29.683893375815174,True
0.4,0.18,-0.2,1.3499999999999999,0.75,52.44227372867745,True
0.4,0.18,-0.2,1.3499999999999999,0.85,21.162243368501205,True
0.4,0.18,-0.2,1.3499999999999999,0.95,21.726429284622807,True
0.4,0.18,-0.2,1.3499999999999999,1.0499999999999998,50.42463155376286,True
0.4,0.18,0.0,0.75,0.75,88.60924598342082,True
0.4,0.18,0.0,0.75,0.85,57.204531607289994,True
0.4,0.18,0.0,0.75,0.95,28.173047585051236,True
0.4,0.18,0.0,0.75,1.0499999999999998,34.35150497031256,True
0.4,0.18,0.0,0.95,0.75,65.91880036886215,True
0.4,0.18,0.0,0.95,0.85,33.68140118251581,True
0.4,0.18,0.0,0.95,0.95,14.870051268324659,True
0.4,0.18,0.0,0.95,1.0499999999999998,38.02152387407499,True
0.4,0.18,0.0,1.15,0.75,44.4102247494052,True
0.4,0.18,0.0,1.15,0.85,31.7043409587254,True
0.4,0.18,0.0,1.15,0.95,33.99724348003007,True
0.4,0.18,0.0,1.15,1.0499999999999998,60.75381018985894,True
0.4,0.18,0.0,1.3499999999999999,0.75,51.63300311973288,True
0.4,0.18,0.0,1.3499999999999999,0.85,52.77442429742802,True
0.4,0.18,0.0,1.3499999999999999,0.95,55.57436755123925,True
0.4,0.18,0.0,1.3499999999999999,1.0499999999999998,80.48772791196816,True
0.4,0.18,0.20000000000000007,0.75,0.75,60.93060908046082,True
0.4,0.18,0.20000000000000007,0.75,0.85,31.303897979745614,True
0.4,0.18,0.20000000000000007,0.75,0.95,19.246438408268453,True
0.4,0.18,0.20000000000000007,0.75,1.0499999999999998,43.57375557680097,True
0.4,0.18,0.20000000000000007,0.95,0.75,45.95370503487311,True
0.4,0.18,0.20000000000000007,0.95,0.85,38.64865396681243,True
0.4,0.18,0.20000000000000007,0.95,0.95,40.4340104897493,True
0.4,0.18,0.20000000000000007,0.95,1.0499999999999998,66.07338408781482,True
0.4,0.18,0.20000000000000007,1.15,0.75,58.484348386244726,True
0.4,0.18,0.20000000000000007,1.15,0.85,59.95694999573897,True
0.4,0.18,0.20000000000000007,1.15,0.95,61.285113224084434,True
0.4,0.18,0.20000000000000007,1.15,1.0499999999999998,85.01346894278652,True
0.4,0.18,0.20000000000000007,1.3499999999999999,0.75,76.0200946484878,True
0.4,0.18,0.20000000000000007,1.3499999999999999,0.85,78.60755592935375,True
0.4,0.18,0.20000000000000007,1.3499999999999999,0.95,77.87974996040116,True
0.4,0.18,0.20000000000000007,1.3499999999999999,1.0499999999999998,99.51182051771403,True
0.4,0.18,0.4,0.75,0.75,47.59415886965857,True
0.4,0.18,0.4,0.75,0.85,42.85170864405329,True
0.4,0.18,0.4,0.75,0.95,44.22661641585796,True
0.4,0.18,0.4,0.75,1.0499999999999998,69.21559112057844,True
0.4,0.18,0.4,0.95,0.75,62.48120032102322,True
0.4,0.18,0.4,0.95,0.85,64.12173666721625,True
0.4,0.18,0.4,0.95,0.95,64.62640412761618,True
0.4,0.18,0.4,0.95,1.0499999999999998,87.68298045902614,True
0.4,0.18,0.4,1.15,0.75,80.50232408570028,True
0.4,0.18,0.4,1.15,0.85,82.2622892619479,True
0.4,0.18,0.4,1.15,0.95,80.71273706553032,True
0.4,0.18,0.4,1.15,1.0499999999999998,101.73497074772294,True
0.4,0.18,0.4,1.3499999999999999,0.75,96.45483404392523,True
0.4,0.18,0.4,1.3499999999999999,0.85,96.48064799079116,True
0.4,0.18,0.4,1.3499999999999999,0.95,92.92645656905546,True
0.4,0.18,0.4,1.3499999999999999,1.0499999999999998,112.20013862798334,True
